sep=\t
Module Resource Usage Distribution Estimates
Generated at: Aug 25, 2026 22:42:28

Note: some resources maybe grouped under different hierarchy due to optimization and LUT mapping

Module	        FFs	      SRLs	      ADDs	      LUTs	    COMB4s	      RAMs	 DSP/MULTs
  +pe_gen[42].pe_inst:pe                                 	    21(21)	     0(0)	     0(0)	   11(11)	     0(0)	     0(0)	     1(1)	
  +pe_gen[43].pe_inst:pe                                 	    21(21)	     0(0)	     0(0)	   10(10)	     0(0)	     0(0)	     1(1)	
  +pe_gen[44].pe_inst:pe                                 	    21(21)	     0(0)	     0(0)	   11(11)	     0(0)	     0(0)	     1(1)	
  +pe_gen[45].pe_inst:pe                                 	    21(21)	     0(0)	     0(0)	   11(11)	     0(0)	     0(0)	     1(1)	
  +pe_gen[46].pe_inst:pe                                 	    21(21)	     0(0)	     0(0)	   12(12)	     0(0)	     0(0)	     1(1)	
  +pe_gen[47].pe_inst:pe                                 	    21(21)	     0(0)	     0(0)	   10(10)	     0(0)	     0(0)	     1(1)	
  +pe_gen[48].pe_inst:pe                                 	    18(18)	     0(0)	     0(0)	     9(9)	     0(0)	     0(0)	     1(1)	
  +pe_gen[49].pe_inst:pe                                 	    15(15)	     0(0)	     0(0)	     5(5)	     0(0)	     0(0)	     1(1)	
  +pe_gen[50].pe_inst:pe                                 	    21(21)	     0(0)	     0(0)	   12(12)	     0(0)	     0(0)	     1(1)	
  +pe_gen[51].pe_inst:pe                                 	    21(21)	     0(0)	     0(0)	   12(12)	     0(0)	     0(0)	     1(1)	
  +pe_gen[52].pe_inst:pe                                 	    21(21)	     0(0)	     0(0)	   13(13)	     0(0)	     0(0)	     1(1)	
  +pe_gen[53].pe_inst:pe                                 	    21(21)	     0(0)	     0(0)	     8(8)	     0(0)	     0(0)	     1(1)	
  +pe_gen[54].pe_inst:pe                                 	    21(21)	     0(0)	     0(0)	     9(9)	     0(0)	     0(0)	     1(1)	
  +pe_gen[55].pe_inst:pe                                 	    21(21)	     0(0)	     0(0)	     9(9)	     0(0)	     0(0)	     1(1)	
  +pe_gen[56].pe_inst:pe                                 	    21(21)	     0(0)	     0(0)	   10(10)	     0(0)	     0(0)	     1(1)	
  +pe_gen[57].pe_inst:pe                                 	    21(21)	     0(0)	     0(0)	     9(9)	     0(0)	     0(0)	     1(1)	
  +pe_gen[58].pe_inst:pe                                 	    18(18)	     0(0)	     0(0)	     8(8)	     0(0)	     0(0)	     1(1)	
  +pe_gen[59].pe_inst:pe                                 	    12(12)	     0(0)	     0(0)	     3(3)	     0(0)	     0(0)	     1(1)	
  +pe_gen[60].pe_inst:pe                                 	    21(21)	     0(0)	     0(0)	   10(10)	     0(0)	     0(0)	     1(1)	
  +pe_gen[61].pe_inst:pe                                 	    21(21)	     0(0)	     0(0)	   10(10)	     0(0)	     0(0)	     1(1)	
  +pe_gen[62].pe_inst:pe                                 	    21(21)	     0(0)	     0(0)	   11(11)	     0(0)	     0(0)	     1(1)	
  +pe_gen[63].pe_inst:pe                                 	    21(21)	     0(0)	     0(0)	   10(10)	     0(0)	     0(0)	     1(1)	
  +pe_gen[64].pe_inst:pe                                 	    21(21)	     0(0)	     0(0)	   11(11)	     0(0)	     0(0)	     1(1)	
